Time (in s),Queue Density,Dynamic Density
72.6667,0.711527,0.0112879
72.8667,0.71477,0.010371
73.0667,0.717013,0.0104139
73.2667,0.718063,0.0133442
73.4667,0.717704,0.0136212
73.6667,0.717368,0.00604001
73.8667,0.718281,0.0049436
74.0667,0.718617,0.00765536
74.2667,0.716908,0.00762805
74.4667,0.71612,0.0060127
74.6667,0.714145,0.0128253
74.8667,0.714641,0.0117835
75.0667,0.71642,0.0196144
75.2667,0.718355,0.0255257
75.4667,0.714598,0.031593
75.6667,0.714941,0.0316203
75.8667,0.718652,0.0325958
76.0667,0.715058,0.020941
76.2667,0.716182,0.0260368
76.4667,0.716635,0.0247765
76.6667,0.715905,0.0222325
76.8667,0.712897,0.0255842
77.0667,0.712292,0.0228022
77.2667,0.714005,0.0286276
77.4667,0.71411,0.0234772
77.6667,0.713802,0.0323343
77.8667,0.709627,0.0315462
78.0667,0.708733,0.0258417
78.2667,0.707746,0.016532
78.4667,0.709377,0.0146396
78.6667,0.710197,0.0189043
78.8667,0.710466,0.0157633
79.0667,0.712748,0.0184868
79.2667,0.712421,0.0155682
79.4667,0.712066,0.0130165
79.6667,0.710985,0.0131101
79.8667,0.712643,0.00866203
80.0667,0.713693,0.00845523
80.2667,0.714949,0.0112333
80.4667,0.714309,0.00293807
80.6667,0.714945,0.00470949
80.8667,0.71962,0
81.0667,0.71953,0.00169339
81.2667,0.72143,0
81.4667,0.717212,0.0017207
81.6667,0.718098,0.00305122
81.8667,0.72063,0.0110968
82.0667,0.724879,0.0229856
82.2667,0.72374,0.0280619
82.4667,0.720103,0.0259432
82.6667,0.722956,0.018159
82.8667,0.721937,0.0251238
83.0667,0.72445,0.0212727
83.2667,0.724473,0.0239884
83.4667,0.727033,0.0208864
83.6667,0.72523,0.0160443
83.8667,0.725991,0.0130047
84.0667,0.725948,0.0116664
84.2667,0.724321,0.00506065
84.4667,0.725581,0.00874397
84.6667,0.730244,0.0086113
84.8667,0.729128,0.00701156
85.0667,0.731032,0.00778022
85.2667,0.73111,0.0219789
85.4667,0.72859,0.0208747
85.6667,0.727813,0.0142806
85.8667,0.72596,0.0255686
86.0667,0.725644,0.0134691
86.2667,0.727509,0.0115221
86.4667,0.724793,0.0243668
86.6667,0.724746,0.028097
86.8667,0.725016,0.0272425
87.0667,0.724637,0.0176206
87.2667,0.724302,0.0119591
87.4667,0.726319,0.0175231
87.6667,0.722195,0.0173904
87.8667,0.720724,0.0132974
88.0667,0.720053,0.00557569
88.2667,0.720493,0.00262592
88.4667,0.722245,0.00395644
88.6667,0.721145,0.00418275
88.8667,0.723525,0.00583321
89.0667,0.723471,0.00919268
89.2667,0.718605,0.00938777
89.4667,0.720025,0.0159935
89.6667,0.718913,0.0153653
89.8667,0.716978,0.0235279
90.0667,0.721231,0.0260368
90.2667,0.722522,0.0297318
90.4667,0.72461,0.0340121
90.6667,0.725472,0.0370985
90.8667,0.731251,0.0361269
91.0667,0.732031,0.0359318
91.2667,0.732445,0.0325528
91.4667,0.733307,0.0370594
91.6667,0.734361,0.0287759
91.8667,0.734216,0.0249326
92.0667,0.732613,0.0245268
92.2667,0.733256,0.0228919
92.4667,0.735738,0.0201529
92.6667,0.736413,0.0220062
92.8667,0.734119,0.0198524
93.0667,0.731298,0.0186624
93.2667,0.728129,0.0169924
93.4667,0.723599,0.0158023
93.6667,0.724466,0.0128331
93.8667,0.722577,0.0100043
94.0667,0.722308,0.0167193
94.2667,0.723022,0.0206991
94.4667,0.727345,0.0250262
94.6667,0.725519,0.0357133
94.8667,0.729468,0.0385226
95.0667,0.736257,0.052815
95.2667,0.742898,0.0903543
95.4667,0.748786,0.110187
95.6667,0.754861,0.132256
95.8667,0.759551,0.147379
96.0667,0.767904,0.168761
96.2667,0.778525,0.19575
96.4667,0.785349,0.216402
96.6667,0.800937,0.241269
96.8667,0.808132,0.251534
97.0667,0.817079,0.262159
97.2667,0.828246,0.277388
97.4667,0.838036,0.27859
97.6667,0.844497,0.296811
97.8667,0.847135,0.328974
98.0667,0.845219,0.376002
98.2667,0.853897,0.390388
98.4667,0.851337,0.401879
98.6667,0.853483,0.40106
98.8667,0.865165,0.412769
99.0667,0.861056,0.439196
99.2667,0.862699,0.425793
99.4667,0.861185,0.448939
99.6667,0.870905,0.477941
99.8667,0.864506,0.47972
100.067,0.849105,0.487184
100.267,0.836362,0.509959
100.467,0.838441,0.507006
100.667,0.835258,0.506534
100.867,0.845117,0.510346
101.067,0.814636,0.512987
101.267,0.799618,0.51573
101.467,0.772341,0.522515
101.667,0.767588,0.516499
101.867,0.762313,0.51335
102.067,0.763534,0.510275
102.267,0.755044,0.515605
102.467,0.762056,0.514532
102.667,0.767307,0.51321
102.867,0.76078,0.518102
103.067,0.759695,0.52497
103.267,0.747338,0.526257
103.467,0.718125,0.532929
103.667,0.719038,0.541927
103.867,0.715452,0.553172
104.067,0.715136,0.54943
104.267,0.712904,0.561026
104.467,0.72056,0.571085
104.667,0.724395,0.579049
104.867,0.713954,0.584305
105.067,0.714922,0.580477
105.267,0.719658,0.598101
105.467,0.720895,0.606061
105.667,0.736869,0.620545
105.867,0.747697,0.628368
106.067,0.751845,0.633116
106.267,0.757947,0.643581
106.467,0.761182,0.657374
106.667,0.765836,0.666906
106.867,0.760007,0.682646
107.067,0.757967,0.693239
107.267,0.761665,0.697922
107.467,0.759285,0.704539
107.667,0.750444,0.70555
107.867,0.745403,0.70338
108.067,0.736678,0.689501
108.267,0.721247,0.671237
108.467,0.703708,0.660823
108.667,0.691327,0.64211
108.867,0.695658,0.630393
109.067,0.674749,0.618176
109.267,0.678405,0.62399
109.467,0.677624,0.62765
109.667,0.677722,0.63028
109.867,0.668958,0.617458
110.067,0.658743,0.616448
110.267,0.666133,0.613533
110.467,0.672052,0.599502
110.667,0.680313,0.593872
110.867,0.691881,0.60795
111.067,0.688592,0.60308
111.267,0.68787,0.600466
111.467,0.679415,0.598172
111.667,0.680812,0.619304
111.867,0.701172,0.626304
112.067,0.712904,0.626624
112.267,0.717989,0.625235
112.467,0.717099,0.611738
112.667,0.728902,0.606631
112.867,0.739304,0.595241
113.067,0.735785,0.582365
113.267,0.735972,0.573555
113.467,0.736592,0.568822
113.667,0.734786,0.564085
113.867,0.724493,0.545977
114.067,0.726491,0.535512
114.267,0.716892,0.550039
114.467,0.703645,0.547561
114.667,0.674647,0.548794
114.867,0.659071,0.548486
115.067,0.64975,0.541158
115.267,0.642539,0.520881
115.467,0.630092,0.526132
115.667,0.617751,0.508637
115.867,0.58654,0.51948
116.067,0.569173,0.514634
116.267,0.560644,0.523382
116.467,0.551112,0.522929
116.667,0.529332,0.529332
116.867,0.511809,0.511809
117.067,0.497001,0.497001
117.267,0.488769,0.488769
117.467,0.48189,0.48189
117.667,0.477407,0.477407
117.867,0.464527,0.464527
118.067,0.462291,0.462291
118.267,0.466107,0.466107
118.467,0.463032,0.463032
118.667,0.47185,0.47185
118.867,0.467004,0.467004
119.067,0.457702,0.457702
119.267,0.438104,0.438104
119.467,0.427701,0.427701
119.667,0.415329,0.415329
119.867,0.396467,0.396467
120.067,0.396912,0.396912
120.267,0.417802,0.417802
120.467,0.44064,0.44064
120.667,0.460812,0.460812
120.867,0.451729,0.451729
121.067,0.448564,0.448564
121.267,0.44405,0.44405
121.467,0.432153,0.432153
121.667,0.42941,0.42941
121.867,0.426648,0.426648
122.067,0.425501,0.425501
122.267,0.438131,0.438131
122.467,0.430643,0.430643
122.667,0.416097,0.416097
122.867,0.406265,0.406265
123.067,0.379955,0.379955
123.267,0.347921,0.347921
123.467,0.316921,0.316921
123.667,0.293994,0.293994
123.867,0.27978,0.27978
124.067,0.273342,0.273342
124.267,0.279635,0.279635
124.467,0.267805,0.267805
124.667,0.263369,0.263369
124.867,0.265202,0.265202
125.067,0.279362,0.279362
125.267,0.311778,0.311778
125.467,0.341698,0.341698
125.667,0.370598,0.370598
125.867,0.400974,0.400974
126.067,0.42213,0.42213
126.267,0.44469,0.44469
126.467,0.436636,0.436636
126.667,0.460164,0.460164
126.867,0.493849,0.493849
127.067,0.525227,0.525227
127.267,0.524697,0.524697
127.467,0.525333,0.525333
127.667,0.511532,0.511532
127.867,0.479236,0.479236
128.067,0.464016,0.464016
128.267,0.44247,0.44247
128.467,0.414903,0.414903
128.667,0.409066,0.409066
128.867,0.39852,0.39852
129.067,0.372498,0.372498
129.267,0.347125,0.347125
129.467,0.332247,0.332247
129.667,0.306589,0.306589
129.867,0.289468,0.289468
130.067,0.249732,0.249732
130.267,0.21556,0.21556
130.467,0.179628,0.179628
130.667,0.160739,0.160739
130.867,0.143392,0.143392
131.067,0.119817,0.119755
131.267,0.101572,0.097323
131.467,0.0780285,0.0747783
131.667,0.0602557,0.0448748
131.867,0.0491121,0.0386202
132.067,0.0445938,0.0201295
132.267,0.0434506,0.0114674
132.467,0.0503451,0.0154161
132.667,0.0467515,0.0153614
132.867,0.047848,0.00685939
133.067,0.0428029,0.0120215
133.267,0.0498652,0.0165008
133.467,0.0464901,0.0218189
133.667,0.0905728,0.0666937
133.867,0.131897,0.0975064
134.067,0.191259,0.127301
134.267,0.22613,0.172882
134.467,0.266322,0.214323
134.667,0.296593,0.237094
134.867,0.317627,0.272682
135.067,0.362182,0.338623
135.267,0.397068,0.386732
135.467,0.399413,0.38466
135.667,0.384149,0.373688
135.867,0.365506,0.365506
136.067,0.36347,0.338455
136.267,0.327335,0.325891
136.467,0.308099,0.308099
136.667,0.302699,0.302699
136.867,0.296873,0.296873
137.067,0.265616,0.265616
137.267,0.23334,0.23334
137.467,0.197272,0.197272
137.667,0.163346,0.163346
137.867,0.13821,0.13821
138.067,0.116949,0.116949
138.267,0.101186,0.0965738
138.467,0.0864993,0.0661982
138.667,0.0711808,0.0502242
138.867,0.0518785,0.0380193
139.067,0.0526784,0.023844
139.267,0.05317,0.02313
139.467,0.0503412,0.0192438
139.667,0.0533339,0.0126302
139.867,0.050626,0.0180381
140.067,0.0563344,0.027898
140.267,0.0762298,0.0438018
140.467,0.098911,0.0592803
140.667,0.130133,0.069503
140.867,0.163744,0.0851181
141.067,0.194447,0.0880952
141.267,0.229715,0.0974712
141.467,0.264141,0.0967962
141.667,0.295976,0.118057
141.867,0.33828,0.155284
142.067,0.370973,0.181946
142.267,0.390778,0.213585
142.467,0.401598,0.265105
142.667,0.394895,0.239088
142.867,0.395683,0.248709
143.067,0.385452,0.2626
143.267,0.375807,0.268414
143.467,0.364277,0.286873
143.667,0.347901,0.28653
143.867,0.35441,0.306429
144.067,0.361659,0.323375
144.267,0.361952,0.339161
144.467,0.346356,0.331849
144.667,0.333781,0.31671
144.867,0.316582,0.295832
145.067,0.292246,0.292246
145.267,0.258043,0.258043
145.467,0.229333,0.229333
145.667,0.201845,0.201845
145.867,0.170939,0.163615
146.067,0.144734,0.144734
146.267,0.124105,0.124105
146.467,0.10362,0.10362
146.667,0.0863862,0.0863862
146.867,0.066522,0.0647116
147.067,0.0630104,0.0540635
147.267,0.0583829,0.0538802
147.467,0.0503334,0.0298138
147.667,0.0428029,0.022135
147.867,0.0347183,0.0180186
148.067,0.0401341,0.0176362
148.267,0.0411212,0.0178976
148.467,0.039264,0.0166529
148.667,0.0421396,0.0209879
148.867,0.0404735,0.0185141
149.067,0.0405164,0.0227788
149.267,0.0426663,0.0219048
149.467,0.0423659,0.0223847
149.667,0.0438213,0.0237347
149.867,0.0457371,0.025553
150.067,0.0455888,0.0245775
150.267,0.0530257,0.0273283
150.467,0.0495648,0.0271254
150.667,0.052534,0.0249599
150.867,0.0528735,0.0353856
151.067,0.0520892,0.0271059
151.267,0.0577859,0.0463223
151.467,0.0767058,0.0615316
151.667,0.108525,0.100663
151.867,0.124249,0.119134
152.067,0.149514,0.149514
152.267,0.159463,0.159463
152.467,0.160556,0.160556
152.667,0.168984,0.168984
152.867,0.166046,0.166046
153.067,0.166881,0.166881
153.267,0.181466,0.181466
153.467,0.18749,0.18749
153.667,0.206796,0.206796
153.867,0.220808,0.220808
154.067,0.208142,0.208142
154.267,0.194045,0.194045
154.467,0.194985,0.194985
154.667,0.195083,0.195083
154.867,0.180849,0.180849
155.067,0.16326,0.16326
155.267,0.155284,0.155284
155.467,0.143103,0.143103
155.667,0.121311,0.121311
155.867,0.113114,0.113114
156.067,0.101131,0.101131
156.267,0.0863316,0.0863316
156.467,0.0822347,0.0822347
156.667,0.0623393,0.0623393
156.867,0.058972,0.058972
157.067,0.0612312,0.0612312
157.267,0.0573801,0.0573801
157.467,0.0457293,0.0457293
157.667,0.0410081,0.0410081
157.867,0.0504973,0.0504973
158.067,0.0497208,0.0497208
158.267,0.0499042,0.0468725
158.467,0.0462248,0.0447616
158.667,0.0464394,0.0464394
158.867,0.0426117,0.0423932
159.067,0.0544459,0.0544459
159.267,0.0812982,0.0771311
159.467,0.107873,0.107873
159.667,0.13329,0.13329
159.867,0.134737,0.134737
160.067,0.134519,0.134519
160.267,0.136345,0.136345
160.467,0.139271,0.139271
160.667,0.146763,0.146763
160.867,0.147684,0.147684
161.067,0.131113,0.131113
161.267,0.11126,0.11126
161.467,0.0869051,0.0869051
161.667,0.0669825,0.0669825
161.867,0.0519058,0.0519058
162.067,0.0357406,0.0357406
162.267,0.0335907,0.0335907
162.467,0.0499666,0.0472354
162.667,0.0707711,0.0707711
162.867,0.0842207,0.0842207
163.067,0.0923364,0.0923364
163.267,0.0941508,0.0941508
163.467,0.0983804,0.0983804
163.667,0.102614,0.102614
163.867,0.106746,0.106746
164.067,0.118763,0.118763
164.267,0.111654,0.111654
164.467,0.0896559,0.0896559
164.667,0.0720704,0.0720704
164.867,0.056588,0.056588
165.067,0.0417611,0.0417611
165.267,0.0396776,0.0396776
165.467,0.0383782,0.0383782
165.667,0.0353465,0.0353465
165.867,0.0395176,0.0395176
166.067,0.0402238,0.0402238
166.267,0.0415621,0.0415621
166.467,0.0410354,0.0410354
166.667,0.0439617,0.0439617
166.867,0.0499432,0.0499432
167.067,0.0500798,0.0500798
167.267,0.0521439,0.0521439
167.467,0.0562603,0.0562603
167.667,0.0817235,0.0817235
167.867,0.1127,0.1127
168.067,0.143048,0.143048
168.267,0.147969,0.147969
168.467,0.150212,0.150212
168.667,0.158133,0.158133
168.867,0.162312,0.162312
169.067,0.170088,0.170088
169.267,0.175273,0.175273
169.467,0.178059,0.178059
169.667,0.189105,0.189105
169.867,0.196683,0.196683
170.067,0.185047,0.185047
170.267,0.164817,0.164817
170.467,0.137196,0.137196
170.667,0.112591,0.112591
170.867,0.0861911,0.0861911
171.067,0.0624563,0.0624563
171.267,0.0408286,0.0408286
171.467,0.0194115,0.0194115
171.667,0.00380817,0.00380817
171.867,0.00146318,0.00103008
172.067,0.00158804,0
172.267,0.00124468,0.00124468
172.467,0.00146318,0.00146318
172.667,0.00163096,0.00163096
172.867,0,0
173.067,0.00152171,0.00152171
173.267,0,0
173.467,0,0
173.667,0,0
173.867,0,0
174.067,0,0
174.267,0,0
174.467,0.00311365,0.00311365
174.667,0,0
174.867,0,0
175.067,0,0
175.267,0.0179171,0.0179171
175.467,0.0439305,0.0439305
175.667,0.0662684,0.0662684
175.867,0.0818796,0.0818796
176.067,0.100413,0.100413
176.267,0.136872,0.136872
176.467,0.18788,0.18788
176.667,0.240992,0.240992
176.867,0.278231,0.278231
177.067,0.309519,0.309519
177.267,0.329992,0.329992
177.467,0.346068,0.346068
177.667,0.343606,0.343606
177.867,0.334561,0.334561
178.067,0.317557,0.317557
178.267,0.312188,0.312188
178.467,0.304248,0.304248
178.667,0.288055,0.288055
178.867,0.272245,0.272245
179.067,0.266865,0.266865
179.267,0.241776,0.241776
179.467,0.217374,0.217374
179.667,0.190596,0.190596
179.867,0.17175,0.17175
180.067,0.153759,0.153759
180.267,0.132658,0.132658
180.467,0.109719,0.109719
180.667,0.0858126,0.0858126
180.867,0.0686758,0.0686758
181.067,0.0697215,0.0697215
181.267,0.0687071,0.0687071
181.467,0.0787386,0.0787386
